interaction_id,drug_a_id,drug_b_id,severity,mechanism,management_advice,source
INT001,D001,D002,major,Additive anticoagulation and antiplatelet effects dramatically increase hemorrhage risk. Warfarin inhibits vitamin K-dependent clotting factors; aspirin impairs platelet aggregation and causes gastric mucosal damage.,Avoid combination unless explicitly directed by a physician. If co-administration is necessary monitor INR closely and watch for signs of bleeding.,DDInter_2.0
INT002,D001,D006,major,Amiodarone inhibits CYP2C9 reducing warfarin clearance by up to 50% leading to markedly elevated INR and bleeding risk.,Reduce warfarin dose by 30-50% when starting amiodarone. Monitor INR weekly for at least 2 months then monthly.,DDInter_2.0
INT003,D019,D020,major,PDE5 inhibitors potentiate the vasodilatory effect of nitrates causing severe unpredictable hypotension that can be life-threatening.,Combination is contraindicated. Do not use sildenafil within 24 hours of nitrate administration.,DDInter_2.0
INT004,D001,D014,major,Phenytoin inhibits CYP2C9 reducing warfarin clearance initially then induces CYP2C9 increasing clearance resulting in unpredictable INR fluctuations.,Monitor INR closely when starting or stopping phenytoin. Expect INR to rise then fall. May need significant warfarin dose adjustments.,DDInter_2.0
INT005,D011,D026,major,Clarithromycin strongly inhibits CYP3A4 raising simvastatin plasma levels 10-fold greatly increasing the risk of myopathy and rhabdomyolysis.,Suspend simvastatin therapy during clarithromycin course. Restart simvastatin 5 days after completing the antibiotic.,DDInter_2.0
INT006,D001,D026,moderate,Clarithromycin inhibits CYP3A4 which plays a minor role in warfarin (S-enantiomer) metabolism. Effect on INR is modest but clinically relevant.,Monitor INR 3-5 days after starting clarithromycin and adjust warfarin dose if needed.,DDInter_2.0
INT007,D007,D023,moderate,Both fluoxetine and tramadol increase central serotonergic activity. Co-administration raises the risk of serotonin syndrome.,Use with caution. Monitor for agitation hyperthermia rapid heart rate and tremor. Reduce doses if combination is unavoidable.,DDInter_2.0
INT008,D008,D028,moderate,Both metoprolol and verapamil slow AV node conduction. Their combination can cause additive bradycardia heart block and reduced cardiac output.,Use with extreme caution if at all. Monitor heart rate and PR interval. Avoid IV verapamil in patients on beta-blockers.,DDInter_2.0
INT009,D003,D010,moderate,Ciprofloxacin inhibits OCT2 transporter reducing renal tubular secretion of metformin raising metformin plasma concentrations and lactic acidosis risk.,Monitor blood glucose and renal function. Consider temporary metformin dose reduction during ciprofloxacin course.,DDInter_2.0
INT010,D012,D006,moderate,Amiodarone inhibits P-glycoprotein and renal clearance of digoxin raising digoxin serum levels by 50-100% increasing toxicity risk.,Halve the digoxin dose when starting amiodarone. Monitor serum digoxin levels and ECG.,DDInter_2.0
INT011,D018,D022,moderate,Furosemide can cause sodium and fluid depletion leading to lithium retention and elevated plasma lithium levels approaching the toxic range.,Monitor lithium levels closely during furosemide therapy. Ensure adequate sodium intake.,DDInter_2.0
INT012,D024,D023,moderate,Sertraline combined with tramadol raises serotonin syndrome risk. Tramadol also weakly inhibits serotonin reuptake.,Monitor for serotonin syndrome symptoms: hyperthermia rigidity rapid heart rate confusion. Use the lowest effective dose of each.,DDInter_2.0
INT013,D001,D009,minor,Omeprazole inhibits CYP2C19 which has a minor role in S-warfarin metabolism. Effect on INR is generally small but may be clinically relevant in sensitive patients.,Recheck INR 1-2 weeks after starting omeprazole. Dose adjustment of warfarin is rarely needed but monitor.,DDInter_2.0
INT014,D003,D004,minor,ACE inhibitors can increase insulin sensitivity in type 2 diabetics on metformin leading to a slightly increased risk of hypoglycemia.,Monitor blood glucose more frequently when starting lisinopril. Patient education on hypoglycemia symptoms.,DDInter_2.0
INT015,D005,D016,minor,Both atorvastatin and amlodipine are CYP3A4 substrates. Amlodipine mildly increases atorvastatin exposure by 18%. Effect is generally clinically insignificant at standard doses.,No routine dose adjustment needed. Use clinical judgment if highest atorvastatin doses are used.,DDInter_2.0
INT016,D013,D025,minor,Ibuprofen and other NSAIDs may partially reverse the antiplatelet effect of clopidogrel by competing for COX-1 binding.,Use paracetamol (acetaminophen) instead of ibuprofen when analgesics are needed in patients on clopidogrel.,DDInter_2.0
